Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
8546.0,9042.0,9874.0,10782.0,46525.0,瀬戸内町,0,0,Kagoshima Ken,28.1333333333,129.3
1621.0,1722.0,1932.0,2048.0,46524.0,宇検村,0,0,Kagoshima Ken,28.2666666667,129.2833333333
1364.0,1530.0,1765.0,2013.0,46523.0,大和村,0,0,Kagoshima Ken,28.35,129.3833333333
11858.0,12913.0,13589.0,0.0,46505.0,屋久島町,0,1,Kagoshima Ken,30.366666666666667,130.65
0.0,0.0,0.0,6948.0,46504.0,屋久町,1,0,Kagoshima Ken,30.23653,130.55589
0.0,0.0,0.0,6813.0,46503.0,上屋久町,1,0,Kagoshima Ken,30.42094,130.56858
5445.0,5745.0,6218.0,6751.0,46502.0,南種子町,0,0,Kagoshima Ken,30.4,130.9
7539.0,8135.0,8696.0,9194.0,46501.0,中種子町,0,0,Kagoshima Ken,30.5166666667,130.95
14227.0,15664.0,17160.0,18307.0,46492.0,肝付町,0,0,Kagoshima Ken,31.3333333333,130.9333333333
6481.0,7542.0,8815.0,9897.0,46491.0,南大隅町,0,0,Kagoshima Ken,31.2166666667,130.7666666667
6944.0,7923.0,8987.0,10015.0,46490.0,錦江町,0,0,Kagoshima Ken,31.2333333333,130.7833333333
0.0,0.0,0.0,7357.0,46485.0,吾平町,1,0,Kagoshima Ken,31.33122,130.89767
6237.0,6530.0,6802.0,7122.0,46482.0,東串良町,0,0,Kagoshima Ken,31.3833333333,130.9666666667
0.0,0.0,0.0,13272.0,46481.0,串良町,1,0,Kagoshima Ken,31.39125,130.95894
12385.0,13241.0,14215.0,15303.0,46468.0,大崎町,0,0,Kagoshima Ken,31.4166666667,131.0
0.0,0.0,0.0,11777.0,46467.0,有明町,1,0,Kagoshima Ken,31.49544,131.04536
0.0,0.0,0.0,18327.0,46466.0,志布志町,1,0,Kagoshima Ken,31.4775,131.09983
0.0,0.0,0.0,4666.0,46465.0,松山町,1,0,Kagoshima Ken,31.577,131.04094
0.0,0.0,0.0,4108.0,46462.0,輝北町,1,0,Kagoshima Ken,31.54733,130.864
9119.0,10327.0,11595.0,12566.0,46452.0,湧水町,0,0,Kagoshima Ken,31.95,130.7166666667
0.0,0.0,0.0,6970.0,46451.0,福山町,1,0,Kagoshima Ken,31.67353,130.81897
0.0,0.0,0.0,36693.0,46450.0,隼人町,1,0,Kagoshima Ken,31.74375,130.73703
0.0,0.0,0.0,5617.0,46449.0,霧島町,1,0,Kagoshima Ken,31.81972,130.83453
0.0,0.0,0.0,8832.0,46448.0,牧園町,1,0,Kagoshima Ken,31.85483,130.75986
