threshold,split,precision,recall,f1,tp,fp,fn,tn,overall_median_ape,overall_mae_yen,overall_within_25pct,cheap_median_ape,cheap_mae_yen,cheap_within_25pct,normal_median_ape,normal_mae_yen,normal_within_25pct
0.1,dev,0.02804277766197951,0.9770949720670391,0.0545207998877788,1749,60620,41,152599,0.23367170262882356,8083028.06789981,0.5208898232167025,0.414118795934847,666224.9616119107,0.2608938547486033,0.2321040640974536,8145293.051603211,0.5230725216795876
0.1,test,0.02737571809108123,0.9804597701149426,0.05326422929220394,1706,60612,34,152658,0.23205908183771723,8131979.251565741,0.5229245151388308,0.41292311842412105,593787.707659329,0.2591954022988506,0.23038247194034564,8193480.88464305,0.5250761944952408
0.2,dev,0.03719204383656211,0.9631284916201117,0.07161847789963444,1724,44630,66,168589,0.21038790926458464,7378991.479382218,0.5593393764912167,0.4173752229541273,794470.9492461804,0.2581005586592179,0.20899638629050674,7434269.347437804,0.5618683137994269
0.2,test,0.03599077049144977,0.9591954022988506,0.06937833849479351,1669,44704,71,168566,0.209213126786928,7416900.871044083,0.5611645969954886,0.420041023742144,843025.6835349393,0.2540229885057471,0.20779110000889842,7470534.963163302,0.5636704646691987
0.3,dev,0.04443391508068125,0.9430167597765363,0.0848689006762362,1688,36301,102,176918,0.20166008383193612,7080749.777930135,0.5776223320884242,0.4216344794413532,952103.3371415006,0.2508379888268156,0.20037149742703997,7132200.526357864,0.5803657272569518
0.3,test,0.04280781295305375,0.9333333333333333,0.0818610277994808,1624,36313,116,176957,0.20023287123849282,7114591.188299438,0.5799311659922795,0.42764613734267265,1051233.015350956,0.24482758620689654,0.19887254656512443,7164060.139492434,0.5826651662212219
0.4,dev,0.051728449084203286,0.9245810055865922,0.09797537295761308,1655,30339,135,182880,0.19645868996855959,6897138.076394307,0.589845076252622,0.4259166057648733,1096388.137434384,0.24581005586592178,0.19507702255493548,6945836.09294414,0.5927332929992167
0.4,test,0.049759984940231546,0.9114942528735632,0.09436825037931752,1586,30287,154,182983,0.19467679494983206,6927044.187915131,0.592572438491233,0.43116526719605364,1236326.3019333603,0.2367816091954023,0.19334482671977243,6973472.8891933635,0.5954752192057017
0.5,dev,0.059499460786136625,0.8938547486033519,0.11157212091628604,1600,25291,190,187928,0.19226478671916367,6760451.191853239,0.5997934970164039,0.43181881169788894,1353428.1445384282,0.2324022346368715,0.19090575836690188,6805843.8222224545,0.6028777923168198
0.5,test,0.0575965247350485,0.8839080459770114,0.1081461167949935,1538,25165,202,188105,0.1906355132682579,6790827.534721165,0.6025859262359891,0.43832977837181225,1422477.280277055,0.22873563218390805,0.1891576085039141,6834626.144196165,0.6056360482018099
